Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 18;_R2_25;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;15/04/2025 12:06:37;08/05/2025 11:05:18
Ativado - Disponível para uso;Desenvolvedor 17;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;16/04/2025 09:42:19;08/05/2025 14:47:34
Ativado - Disponível para uso;Desenvolvedor 22;A - Sprint 2 R2 2025;Atividades Pura-Infra;Pura-Infra;8;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;16/04/2025 10:18:18;07/05/2025 19:32:53
Ativado - Disponível para uso;Desenvolvedor 17;_R2_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;16/04/2025 14:29:53;16/04/2025 14:35:03
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 14:46:49;24/04/2025 00:48:32
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 14:51:47;28/04/2025 09:50:12
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);80139;Infraestrutura/Ambiente;Squad 2;16/04/2025 14:56:02;01/05/2025 00:44:41
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);432504;Dependências externas;Squad 2;16/04/2025 15:04:45;08/05/2025 12:33:26
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);545223;Falta de informações/Erros de definição;Squad 2;16/04/2025 15:07:03;12/05/2025 09:43:35
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 1 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 15:15:39;24/04/2025 00:48:28
Ativado - Disponível para uso;Desenvolvedor 42;SPRINT 2 RELEASE 2;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;16/04/2025 15:17:34;13/05/2025 10:14:52
